school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
343,Baton Elementary,65,0.9852,,,0.9819,0.9846,0.9583,0.9821,1,1,0.9675,0.9673,0.9681,0.9698,0.9721,0.9747,0.992,0.9919,0.9921,0.9925,0.9931,0.9937,1,0,0,0,0,0,,H
344,Collettsville School,33,0.9382,,,0.9528,0.9394,0.9333,0.9667,0.8276,1,0.9252,0.9243,0.9262,0.9301,0.9351,0.9409,0.9747,0.9744,0.9751,0.9765,0.9783,0.9803,1,0,0,0,0,0,,M
345,Davenport A+ School,83,0.9814,,,0.9779,0.9846,1,0.9583,0.988,0.9828,0.9634,0.9631,0.964,0.9661,0.9687,0.9715,0.9887,0.9885,0.9889,0.9895,0.9903,0.9912,1,0,0,0,0,1,,H
346,Dudley Shoals Elementary,76,0.9683,,,0.9676,0.9714,0.9677,0.9275,0.9737,1,0.9496,0.9494,0.9508,0.9535,0.957,0.9609,0.9816,0.9815,0.982,0.9829,0.9842,0.9856,1,0,0,0,0,0,,H
347,Gamewell Elementary,97,0.9791,,,0.9741,0.9718,0.9605,0.96,1,1,0.9603,0.9599,0.961,0.9632,0.9659,0.969,0.9853,0.9852,0.9855,0.9863,0.9874,0.9885,1,0,0,0,0,0,,H
348,Granite Falls Elementary,127,0.974,,,0.9725,0.9685,0.9792,0.9519,0.9789,1,0.9592,0.9588,0.96,0.9621,0.965,0.9682,0.9832,0.9831,0.9835,0.9844,0.9856,0.987,1,0,0,0,0,0,,H
349,Happy Valley Elementary,27,0.9877,,,0.9749,1,0.9412,1,1,1,0.9489,0.9487,0.95,0.9527,0.9563,0.9603,0.9913,0.9912,0.9914,0.9919,0.9925,0.9933,1,0,0,0,0,0,,H
351,Horizons Elementary,4,0.9925,,,0.9648,1,1,1,1,0.9724,0.8858,0.885,0.8879,0.8936,0.9012,0.9097,0.9946,0.9946,0.9947,0.995,0.9954,0.9958,1,0,0,0,0,1,,H
352,Hudson Elementary,125,0.9675,,,0.9654,0.984,0.8989,0.9792,0.9703,1,0.9493,0.9492,0.9505,0.9531,0.9566,0.9605,0.9782,0.9781,0.9787,0.9798,0.9814,0.9831,1,0,0,0,1,0,,H
353,Kings Creek Elementary,21,0.9453,,,0.9563,1,0.9444,0.85,0.9524,1,0.9176,0.917,0.9192,0.9235,0.929,0.9352,0.9826,0.9824,0.9829,0.9839,0.9851,0.9865,1,0,0,0,0,0,,M
354,Lower Creek Elementary,76,0.9696,,,0.9689,0.9868,0.9831,0.9467,0.9595,0.9758,0.9502,0.9498,0.9512,0.9539,0.9574,0.9612,0.9828,0.9826,0.983,0.9839,0.9851,0.9865,1,0,0,0,0,1,,H
356,Pine Mountain Academy,11,0.8671,,,0.8983,0.9091,0.7778,,,,0.7702,0.769,0.7741,,,,0.9735,0.9733,0.974,,,,1,0,0,,,,,L
357,Sawmills Elementary,63,0.9779,,,0.9754,0.9841,1,0.9672,1,0.9348,0.9581,0.9578,0.9592,0.9614,0.9643,0.9676,0.9879,0.9878,0.9881,0.9888,0.9897,0.9907,1,0,0,0,0,0,,H
358,Valmead Elementary,58,0.889,,,0.8969,0.9483,0.8,0.9459,0.7209,1,0.8627,0.8621,0.8651,0.8715,0.8805,0.8907,0.9269,0.9263,0.9282,0.9319,0.9369,0.9425,1,0,0,0,0,0,,L
360,Whitnel Elementary,54,0.9734,,,0.9701,0.963,0.9615,0.9767,1,0.9722,0.9478,0.9473,0.9486,0.9513,0.955,0.959,0.9865,0.9863,0.9866,0.9874,0.9884,0.9894,1,0,0,0,0,0,,H
1485,Nations Ford,134,0.6705,,,0.6459,0.4944,0.8235,0.6635,0.6815,0.7026,0.604,0.6025,0.6094,0.6235,0.6427,0.665,0.6864,0.6841,0.6901,0.7022,0.7188,0.7385,1,0,0,1,1,1,,L
