school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
277,Christ Classical Academy,37,0.8307,,,0.8385,0.8,0.7568,0.8378,0.8696,1,0.7755,0.7742,0.7795,0.7888,0.8022,0.8175,0.8941,0.8933,0.8957,0.9011,0.9082,0.916,,L
278,Drexel Elementary,78,0.9719,,,0.9717,0.9615,0.9848,0.9863,0.9714,0.9571,0.9552,0.9549,0.956,0.9583,0.9614,0.965,0.9845,0.9844,0.9848,0.9856,0.9867,0.9879,,H
279,Forest Hill Elementary,50,0.9365,,,0.9509,0.96,1,1,0.975,0.7556,0.9253,0.9246,0.9265,0.9304,0.9354,0.9411,0.9715,0.9714,0.9721,0.9737,0.9757,0.9779,,M
280,George Hildebrand Elementary,61,0.9589,,,0.9603,0.973,0.9508,0.9333,0.9583,0.9804,0.9387,0.9382,0.9397,0.9429,0.9471,0.9518,0.9779,0.9776,0.9782,0.9794,0.981,0.9827,,H
281,Glen Alpine Elementary,56,0.9819,,,0.978,1,0.98,1,0.9464,1,0.9613,0.9609,0.962,0.964,0.9668,0.9698,0.9906,0.9905,0.9908,0.9913,0.992,0.9927,,H
282,Hildebran Elementary,49,0.9811,,,0.9817,0.975,0.9355,0.9796,1,1,0.9664,0.9661,0.967,0.9687,0.9711,0.9737,0.9924,0.9924,0.9926,0.993,0.9935,0.9942,,H
283,Hillcrest Elementary,46,0.9789,,,0.979,1,0.9737,0.9545,0.9655,1,0.9612,0.9609,0.9619,0.964,0.9667,0.9697,0.9912,0.9911,0.9913,0.9918,0.9925,0.9932,,H
284,Icard Elementary,44,0.9848,,,0.9809,0.9767,0.975,0.9773,1,1,0.9641,0.964,0.9649,0.9668,0.9693,0.9721,0.9925,0.9925,0.9926,0.993,0.9936,0.9942,,H
286,Mountain View Elementary,129,0.9077,,,0.8993,0.9593,0.95,0.814,0.9649,0.8636,0.8765,0.8752,0.8784,0.8845,0.8926,0.9016,0.9204,0.9196,0.9216,0.9256,0.9311,0.9372,,M
287,Mull Elementary,43,0.9778,,,0.9747,1,0.9714,0.975,1,0.931,0.9537,0.9533,0.9545,0.9569,0.9602,0.9638,0.989,0.9889,0.9892,0.9898,0.9906,0.9914,,H
289,New Dimensions,67,0.9729,,,0.9752,0.9692,0.9839,0.9851,0.9787,0.9362,0.9571,0.9569,0.958,0.9603,0.9633,0.9666,0.9883,0.9882,0.9884,0.9891,0.99,0.9909,,H
290,North Liberty,7,0.9861,,,0.9472,1,1,1,1,0.9586,0.873,0.8724,0.8754,0.8815,0.8898,0.899,0.987,0.9869,0.9872,0.988,0.9889,0.9899,,H
291,Oak Hill Elementary,57,0.9681,,,0.971,0.9762,1,0.925,0.9434,0.9825,0.9521,0.9517,0.9531,0.9556,0.9589,0.9627,0.985,0.9849,0.9852,0.986,0.9872,0.9883,,H
292,Ray Childers Elementary,68,0.9895,,,0.984,0.9853,0.9851,1,0.9839,1,0.9716,0.9714,0.9722,0.9737,0.9757,0.978,0.9928,0.9927,0.9929,0.9933,0.9938,0.9944,,H
294,Reflections of Christ Christian Acad,3,0.8404,,,0.8827,0,1,1,0.8974,1,0.6834,0.6807,0.686,0.6979,0.7151,0.7353,0.9793,0.9792,0.9798,0.9809,0.9824,0.984,,L
296,Salem Elementary,76,0.9445,,,0.9482,0.9605,0.9683,0.971,1,0.7736,0.9273,0.9268,0.9285,0.9322,0.9372,0.9427,0.9649,0.9646,0.9656,0.9675,0.97,0.9727,,M
298,Silver Creek SDA School,8,0.8072,,,0.842,0.5,1,0.8518,0.625,1,0.6904,0.689,0.6968,0.7092,0.7253,0.7445,0.9462,0.9458,0.9473,0.95,0.9537,0.9579,,L
300,Valdese Elementary,87,0.9769,,,0.9772,0.9885,0.9861,0.9444,0.9872,0.975,0.963,0.9629,0.9639,0.9659,0.9685,0.9714,0.9875,0.9874,0.9878,0.9885,0.9894,0.9903,,H
301,W A Young Elementary,52,0.9819,,,0.9745,0.9592,0.9783,1,0.9781,1,0.9544,0.9539,0.9551,0.9576,0.9608,0.9643,0.9881,0.988,0.9883,0.989,0.9898,0.9908,,H
